name,attack,defense,rank
Argentina,95,92,1
France,94,89,2
Brazil,93,91,3
England,90,88,4
Spain,90,90,5
Portugal,89,85,6
Netherlands,87,86,7
Belgium,85,84,8
Germany,86,85,9
Italy,84,87,10
Croatia,82,80,11
Uruguay,81,83,12
Colombia,80,78,13
Mexico,78,76,14
USA,77,75,15
Morocco,79,82,16
Japan,78,79,17
Switzerland,76,81,18
Denmark,77,80,19
Senegal,78,77,20
Iran,74,76,21
South Korea,75,74,22
Australia,72,73,23
Ecuador,74,75,24
Canada,73,72,25
Ghana,72,70,26
Poland,74,72,27
Serbia,73,74,28
Tunisia,70,71,29
Nigeria,74,68,30
Saudi Arabia,68,70,31
Wales,70,69,32
